urlOfProject,nameOfProject,descriptionOfProject,problemSolved,challengesFaced,technologiesUsed
https://devfolio.co/projects/comicifyai-97a6,Comicify.ai,Transforming dull text into comic adventures!,,,"Next.js, Flask, OpenAi, Google Cloud Platform (GCP), Tailwind CSS, Replit, Stable Diffusion"
https://devfolio.co/projects/tiaa-ai-retire-planner-be46,AI Portfolio Allocation,AI portfolio recommendation and allocation,,,"Django, ngrok, Render, HTML CSS JS, Kotlin java, Monte Carlo"
https://devfolio.co/projects/nftmusicplayer-131e,NFTMusicPlayer,NFT music player with NFT marketplace where users can buy/sell there NFT's,,,"Solidity, React, Remix (IDE), Bootstrap​"
https://devfolio.co/projects/safeus,Safeus,Promotes social-distancing by providing token system booking slots in nearby shops where customers can book a slot. Eradicates crowd in the shop counters and promotes social-distancing.,,,"HTML, CSS, JavaScript, Flask, Java, MySQL, Python, JavaFX"
https://devfolio.co/projects/jobomania-389e,Job-O-Mania,Where skills and opportunity stands together.,,,"React, Node.js, Firebase, Heroku, REST API, Firestore"
https://devfolio.co/projects/resqai-69ae,ResqAI,"Every Second Matters , And ResqAI is there to save your day , potentially saving lives and reducing property damage.",,,"MetaMask, GitHub, Ethereum, React.js, Twilio Rest API, Assembly AI, Python Flash, GPT 3.5"
https://devfolio.co/projects/unicorn-08c9,UNICORN,One-Stop Platform For Budding Entrepreneurs,,,"HTML, CSS, JavaScript, Flask, pandas, Matplotlib, Jinja, SQLite, Seaborn, Bootstrap​"
https://devfolio.co/projects/block-roll-blochain-based-payroll-system-5d5e,BlockRoll - Blockchain based payroll system,Processing payroll is a highly complex activity as individuals have different rules depending on their salary structure. This becomes further complex while processing payments to the freelancers,,,"Solidity, React, JavaScript, Matic, Ethereum, Blockchain, Matic Mumbai Test Network, Blockchain Technology, Truffle Suite"
https://devfolio.co/projects/musomatic-cf6f,Musomatic,A platform to shake up the music industry! Musomatic is a dApp to take the power from centralized organizations (like Spotify) and put it back into the hands of musicians.,,,"Solidity, IPFS, React, Node.js, MetaMask, Infura, Adobe XD, Bootstrap​, Polygon, GetStream"
https://devfolio.co/projects/visualpe-193d,VisualPe,Make Smart Financial Decisions,,,"Node.js, JavaScript, Heroku, Postman, JSON, Express.js, CSS3​, HTML5​, Setu AA Sandbox, PhonePe Pulse"
https://devfolio.co/projects/your-first-perpetual-nft-exchange-fixel-7dd4,"Your First Perpetual NFT Exchange, Fixel",Trade BAYC collections with up to 20x leverage,,,"Solidity, Firebase, Figma, TypeScript, Hardhat, Angular, Photoshop"
https://devfolio.co/projects/smartlift-5dc6,SmartLift,Achieve your fitness goals with the power of technology.,,,"TensorFlow, NumPy, OpenCV, Python, Rapid API, FastAPI, Image Processing - Open CV, React.js, MediaPi"
https://devfolio.co/projects/auction-house-b572,LAP: Liquidity Auction Protocol,"Liquidity Auction Protocol, that uses ideals funds in smart accounts (as well as EOA with EIP-7702 support) to auction there liquidity to defi protocol for yearning yield without deposit.",,,"Solidity, Nodejs, React.js, BASE, socket-protocol"
https://devfolio.co/projects/real-time-video-stitching,Real time Video Stitching,Stitch 2 or more live video streams and generate an aggregatted video output.,,,OpenCV
https://devfolio.co/projects/patentnft-c5c4,PatentNFT,Helping researchers take ownership of their ideas without making it public using Solana and NFTs.,,,"NFT, React.js, Chakra UI, Solana"
https://devfolio.co/projects/sexedify-f7cb,SexEdify,The Ultimate Safe Haven of Sex Education. (Exploring and Understanding your body isn’t a Taboo!),,,"HTML, React, CSS, GraphQL, JSX, Auth0, DGraphQL"
https://devfolio.co/projects/crypto-plants-save-the-planet-with-awesome-nfts-b065,Crypto Plants: Save the planet with awesome NFTs!,"Crypto is bad for the planet? Think again! Crypto plants is where CryptoKitties meets planet, turning donations into digital art. Invest in the earth with ERC721 powered crypto plants.",,,"IPFS, Node.js, OpenZeppelin, Heroku, Ethereum, Textile.io, Chainlink, reactjs, Truffle Suite, Ceramic"
https://devfolio.co/projects/heart-disease-predictor-1,Heart Disease Predictor,A doctor can use this website to predict whether a person has heart disease of not.,,,"JS, Django, Machine Learning, Heroku, GitHub, Kaggle, HTML/CSS, arpitagarwal"
https://devfolio.co/projects/apartment-floor-plan-generator-4fa5,Apartment Floor Plan Generator,Apartment Floor Plan Generator is an AI-based Desktop app that can generate multiple different kinds of floor plans,,,"Deep Learning, Tkinter, Python, Generative Advarsarial Networks (GANs)"
https://devfolio.co/projects/chainpe-f925,ChainPe,Crypto to UPI,,,"Solidity, Expo, React Native, Hardhat, Web3js, Etherjs, Web3Auth, Decentralized Storage, CrossChain Communication"
https://devfolio.co/projects/smart-swap,Smart Swap,"An All in one platform where you can use Uniswap, Compound for your  ETH-ERC20, ERC20-ETH, ERC20-ERC20, and ERC20-CTOKEN Swaps and Buy NFT's.",,,"Solidity, React, ethers.js, Matic, Web3, Compound Protocol, Uniswap, NFT, Truffle Suite"
https://devfolio.co/projects/silent-base-68ba,Silent Base,Decentralized Trading Platform with Orderbook System on Ethereum Layer 2,,,"Solidity, Web3, React.js, coinbase sdk"
https://devfolio.co/projects/port-by-bimape,Port by BimaPe,"""Mobile Number Portability"" brought to Health Insurance",,,"React, Python, Figma"
https://devfolio.co/projects/kronos-3689,KRONOS,Because you value 'TIME',,,"JavaScript, CSS3​, HTML5​, Bootstrap​"
https://devfolio.co/projects/tollchain-3125,TollChain,An on-chain private and secure FASTag.,,,"Solidity, Next.js, Vercel, foundry, ZKP, ERC4337, Scaffold-eth 2, anon-aadhaar, CDP"
https://devfolio.co/projects/learn-gpt-166c,Learn GPT,Learn with AI delightfully.,,,"JavaScript, TypeScript, reactjs, gpt3"
https://devfolio.co/projects/rupya-776b,Rupya,Zero collateral lending platform with a focus on seamless lending for agriculture. 🧑🏽‍🌾,,,"💨 Polygon Network - Superfast blockchain transactions.
💾 IPFS - Distributed Storage of encrypted user profiles, loan details, and all other important info.
⌛️ Covalent - Real-time on-chain data via API, for faucet, borrow, and all information across dashboards.
📚 StackOS - Decentralized docker deployment of all 3 frontend apps. (Faucet, Main App, Landing Page) (

docker run -d -p 8080:80 naikaayush/web-app

)
⛓ Chainlink - Price feeds for calculating interest earned in staking RUP (tied to USDC on test net).
🌊 Superfluid - To stream interest earned by lenders and to regularly pay back loans by borrowers."
https://devfolio.co/projects/daoinsure-1e0c,DAOInsure,Decentralised autonomous Insurance organisation: Insurance for the people by the people.,,,"IPFS, Textile.io, Chainlink, The Graph, Fleek, Portis, Superfluid, Polygon, StakeDAO, Slate"
https://devfolio.co/projects/mediblock,MediBlock,The most secure app to store and share medical records,,,"Cryptography, Solidity, Firebase, Smart Contract, Dart, C++, Flutter, Ethereum Studio, Blockchain, Rinekby Test Network"
https://devfolio.co/projects/solmate-50b2,Solmate,Blockchain is truly forever,,,"React, Next.js, Redux, Python, Rust, TypeScript"
https://devfolio.co/projects/dreamops-9f20,DreamOps,Dream Easy While AI Takes Care Of Your Oncall Duty,,,"HTML, Node.js, Next.js, WebSockets, Python, AWS, Slack API, AWS Cloudwatch, Webhook, Kubernetes, Tailwind CSS"
https://devfolio.co/projects/ipfs-chat-58ec,IPFS CHAT,A decentralised chat application free from any form of centralization.,,,"IPFS, React, MetaMask, OrbitDB, Ethereum, libp2p, Nodejs, Polygon"
https://devfolio.co/projects/bookmyvac-74ce,BookMyVac.,Vaccine for All. Easy Distribution. Greater Impact.,,,"Bootstrap, Node.js, JavaScript, HTML5, CSS3, Express.js, MongoDB, mongoose"
https://devfolio.co/projects/kryptomeds-33f2,KryptoMeds,"Our aim is to put the patient in control of their medical data, giving them the power to share the single, most comprehensive version of their record, with every organisation in their medical network.",,,"Solidity, HTML, CSS, JS, Python, Flutter, Web3, Blockchain, AI/ML, Celo"
https://devfolio.co/projects/banking-protocol-d4ab,Safe Bank,"Safe Bank is a mobile banking app enabling seamless and secure zkProofs, a fiat onramp and payments across wallets and domestic and international bank accounts via the SEPA network.",,,"React Native, TypeScript, Gnosis Chain, mina protocol, Monerium, Safe Kit"
https://devfolio.co/projects/genz-insurance,GenZ Insurance,Decentralised Peer-to-Peer Crop Insurance,,,"Solidity, React, MetaMask, JavaScript, Ethereum, Ganache, Drizzle, web3.js, Truffle Suite"
https://devfolio.co/projects/safebridge-transas-navisailor-test-answers-pdf-6e72,Safebridge transas navi-sailor 4000 test answers pdf,Safebridge transas navi-sailor 4000 test answers pdf,,,Python
https://devfolio.co/projects/animites-f3d7,Animites,"Watch together , enjoy together ...... Anime with live streaming & chat",,,"Node.js, JavaScript, Git, Socket.IO, GitHub, Express.js, HTML/CSS, React.js, MongoDB Compass, Bootstrap​"
https://devfolio.co/projects/courtledger,CourtLedger,"A simple, decentralized and tamper-proof solution for storing evidence for a court proceeding.",,,"Solidity, React, Ant Design, JS, MetaMask, Matic, Web3, Ethereum, Moibit, Truffle Suite"
https://devfolio.co/projects/eagro-3cbb,E-Agro,We use state-of-the-art machine learning and deep learning technologies to help you guide through the entire farming process.,,,"HTML, CSS, JS, Machine Learning, Deep Learning, Python, EDA"
https://devfolio.co/projects/descode,DesCode,A social media platform where developers and coding enthusiast around the world can connect with each other and can gain mentorship and ask their doubts with each other.,,,"Bootstrap, Node.js, Socket.IO, AWS, CSS3, Express.js, Redis, Passport.js, mongoose, Javascript with ejs"
https://devfolio.co/projects/shop-safe,Shop Safe,"Shop Safe is an App that streamlines the process of standing in Queues in front of Grocery Stores and Shops. Also, there is an automatic system which notifies users to Wear Mask based on GeoFencing.",,,"Firebase, Android SDK, GPS, Auth0, GeoFencing"
https://devfolio.co/projects/daolaal-9296,DAOlaal,Bringing Dalaal Street (Real World Stocks & Indexes) on-chain to make it accessible to all,,,"Solidity, React, Ethereum, Chainlink, Remix (IDE), Truffle Suite, Polygon"
https://devfolio.co/projects/college-canteen-app,College Canteen App,A complete canteen eCommerce web app makes canteen workers monitor overall day to day business analytics more accurately with an ease. So this app will help you with that.,,,
https://devfolio.co/projects/eana-educationalist-attentiveness-analyzer,EANA: EDUCATIONAL ATTENTIVENESS ANALYZER,"As work from home is becoming is a widespread culture, technology
can make the process easier. This project works to make remote working easier and more effective.",,,"jQuery, Node.js, CSS, Heroku, HTML5, Python, Express.js, VanillaJS, EJS Templating Library"
https://devfolio.co/projects/tumbuh-b22e,Tumbuh,Maximize IDRX returns with smart vault allocation,,,"Solidity, Next.js, TypeScript"
https://devfolio.co/projects/freex-e4e0,Freex,"Simplified Crypto Payments, Seamless Everywhere.",,,"Solidity, TypeScript, Tailwind CSS, Express js, Supabase, Next JS, Wagmi, Pinata IPFS, Viem, Xellar Kit"
https://devfolio.co/projects/elixir-3,Elixir,Integrated Public Healthcare Repository,,,"Firebase, Flask, Heroku, Python, MongoDB, React.js"
https://devfolio.co/projects/metapass-40eb,Metapass,Revolutionizing onchain ticketing using web3 and NFTs.,,,"IPFS, Firebase, ethers.js, Matic, Netlify, pinata, React.js, nextjs, Polygon"
https://devfolio.co/projects/lp-underlying-calculator-48df,LP Underlying Calculator,Calculator that allow users to evaluate the value of their Liquidity Pool tokens before depositing them in the next yield farm.,,,"React, Web3, Uniswap, Portis, sushiswap, 1inch"
https://devfolio.co/projects/earning-shop-shop-and-earn-e946,Earning Shop ........ Shop and Earn,Earning Shop aims to provide our customers  earn money on the purchases they make on different e-commerce websites,,,"jQuery, PHP, Bootstrap, JavaScript, MySQL, HTML/CSS"
https://devfolio.co/projects/ehrnetwork-health-repository-provider,EHR.Network Health Repository Provider,NDHM integration for existing and new health applications made quicker and cheaper!,,,"Java, .NET, postgresDB, Nodejs, Angular 9, openEHR, HAPI FHIR"
https://devfolio.co/projects/wondermon-smart-nft-8d1e,Wondermon - Make Your NFT Smart,Empowering NFTs with the ability for voice communication with their holders and to execute on-chain actions.,,,"Swift, Express.js, OpenAi, langchain, Cadence, Microsoft Azure TTS"
https://devfolio.co/projects/quicklance-a-platform-for-freelancers-d9af,Quicklance - A Platform For Freelancers,Quicklance is the first decentralized platform for freelancers where they can find the best web3 projects and work on them to get paid securely and also connect with other freelancers / employers.,,,"Next.js, Chainlink, Hardhat, Superfluid, Polygon, Filecoin, Quicknode, Push Protocol, Mantle, Infura IPFS"
https://devfolio.co/projects/buymeacryptocoffee-51e9,BuyMeACryptoCoffee,Let your audience support you with crypto through our creator pages.,,,"Firebase, Vercel, nextjs, Ethers, tailwind, moralis"
https://devfolio.co/projects/flow-quest-317d,Flow Quest,Embark on a marketing adventure with Flow Quest and conquer the world of Web 2.5,,,"React, Node.js, Flutter, nextjs, flow"
https://devfolio.co/projects/college-cart-1318,College Cart,"To live college life like a pro by tracking the grades , upcoming schedules ,and classes at one place and helps in academic progress",,,"Flutter, Canva, loom"
https://devfolio.co/projects/kampusvire-f9ab,KampusVire,Your campus at your fingertips,,,"Django, reactjs, Razorpay API, Celo, Alfajores Testnet"
https://devfolio.co/projects/soul-tag-f317,Soul Tag,We propose a protocol that achieves both anonymity and confidentiality without using zkp. This protocol allows us to achieve SSI. Our demo is about our protocol and usecase. More details on github,,,"Solidity, HTML, Node.js, React.js"
https://devfolio.co/projects/smart-helmet-1,Smart Helmet,A smart helmet that displays direction and meters remaining to the next turn on a corner of the visor and an embedded transmitter-receiver circuit that lets 2 riders to communicate with each other.,,,"Android Studio, Arduino IDE, Arduino, HC-05 BT module, OLED I2C Display"
https://devfolio.co/projects/basedcoffee-df5f,BasedCoffee,A Farcaster Native Buy Me a Coffee for Crowd Funding Goals & Initiatives,,,"Next.js, ethers.js, TypeScript, Tailwind CSS, BASE, framesjs"
https://devfolio.co/projects/studynotion-aa0d,StudyNotion,An EdTech Platform,,,"React, JWT, JavaFX, MongoDB, MERN stack, Tailwind CSS, Nodejs, Razorpay API, EXPRE, HTML5​"
https://devfolio.co/projects/online-voting-system-using-finger-print-sensor-58b5,Online Voting System using Finger Print Sensor,purposes web based system that can varify voter's fingerprint by it's own mobile device and can give vote remotely.,,,"Solidity, jQuery, HTML, CSS, JavaScript, AJAX, Web3, Ethereum, Blockchain, Truffle Suite"
https://devfolio.co/projects/travel-website-using-html-and-css-fed4,Travel website using html and css,"It is our portfolio travel website. We use basic html and css tags in this project.
In this website we provide a shortlist of different places with affordable price.",,,"CSS3, HTML5​"
https://devfolio.co/projects/firewallet-42f4,Firewallet,Firewallet is an ERC4337 compliant secure contract wallet that enables you to create roles that limit the amount of money that can transfer and the contract that call.,,,"Solidity, IPFS, React, Node.js, Polygon, ENS, firebasefunction, tailwind hardhat etherspot, ERC4337"
https://devfolio.co/projects/mintit-fec3,MINTIT,"A truly decentralized mobile-based NFT Marketplace with minimal UI, seamless transactions, and a web application for effortless generation of randomized NFTs.",,,"Solidity, IPFS, Flutter, Web3, Chainlink, The Graph, Canvas, Truffle Suite, Polygon, NFT.Storage"
https://devfolio.co/projects/tiranga-2483,Tiranga,Tiranga is a free and open-source application developed on top of the Polygon network. The purpose is to promote better citizenship through government-registered entities.,,,"Solidity, Nodejs, reactjs, Web3js, Polygon"
https://devfolio.co/projects/mess-management-3e9b,Mess Management,Eat Healthy Stay Healthy 😋,,,"Git, Postman, MongoDB, Tailwind CSS, Nodejs, Express, React.js"
https://devfolio.co/projects/hermes,Hermes,An Inclusive and Global Gateway to decentralized content creation and exploration using SMS.,,,"Solidity, IPFS, OpenZeppelin, Twilio, pinata, NFT, Portis, Matic Network"
https://devfolio.co/projects/near-scan-a2cc,Near Scan,"Simplify reading onchain data of Near network for everyone and support advanced data analysis such as verify smart contract , automatically generate get and set fieldfrom smart contract Abi",,,"React, npm, Rust, Nodejs, NEAR Protocol"
https://devfolio.co/projects/agricultural-wheel-sprayer-497b,Agricultural wheel SPrayer,"a portable device that does not need any fuel to operate, easy to move and spray the pesticide across large acre of land.",,,"DC gear motor, Hydraulic and Pneumatic Actuator, Presssure sensor, Crank mechanism"
https://devfolio.co/projects/cloud-based-bus-pass-system,Cloud Based Bus Pass System,#CloudBasedProject,,,Cloud computing
https://devfolio.co/projects/netflix-clone-7da4,Netflix Clone,A Netflix clone project is a web application or mobile app that replicates the functionality and features of the original Netflix platform. The project involves creating a user-friendly interface .,,,"CSS, we use html5"
https://devfolio.co/projects/boringio,IPOI - Extension,IP screening,,,"JavaScript, Flask"
https://devfolio.co/projects/meowauth-9354,MeowAuth,"MeowAuth is the most seamless and secure mobile wallet SaaS on Flow, fulfilling wallet ""Trilemma"" - Security, Recoveriness, and User Experience.",,,"Firebase, Kotlin, TypeScript, Google Play Services, jetpack compose, coil, Cadence, AWS Serverless, Jetpack Biometric"
https://devfolio.co/projects/i-know-i-am-wasting-my-life-book-penguin-pdf-1ce3,I know i am wasting my life book penguin pdf,I know i am wasting my life book penguin pdf,,,Python
https://devfolio.co/projects/audio-to-isl-translator-d600,Audio to ISL Translator,"An application which takes in live speech or text as input in any indian language, translates into English language in text format and displays the relevant Indian Sign Language images or GIFs.",,,"Django, JavaScript, Google Text-to-Speech API, Python, Figma, PyCharm, Speech API, HTML/CSS"
https://devfolio.co/projects/bondcontrol-1dc1,BondControl,New Thinking. New Bond.,,,"Wix Website Builder, CanvasJS, Google Analytics"
https://devfolio.co/projects/xxx-5d98,.,.,,,HTML5​
https://devfolio.co/projects/ewaste-facility-locator-b74d,E-Waste Facility Locator,Todays electronic devices tomorrow E-Waste. this website provides a platform to spread awareness and help connect E-waste recycling facilities connect with clients.,,,"HTML, Firebase, CSS, JS, Google API"
https://devfolio.co/projects/libro-sagrado-del-gran-espiritu-invisible-pdf-c3dc,Libro sagrado del gran espíritu invisible pdf,Libro sagrado del gran espíritu invisible pdf,,,Python
https://devfolio.co/projects/revers-9dc7,Retrace,Reversing your transactions on the go!,,,"Solidity, Python, TypeScript, FastAPI, nextjs, Polygon, Supabase, BASE, Shadcn"
https://devfolio.co/projects/sahitya-1786,Sahitya 💸,All in one Financial Tooling,,,"React, Node.js, JavaScript, Python, Setu, Chakra UI, Account Aggregators"
https://devfolio.co/projects/nirmaan-ai-acd9,Nirmaan AI,NirmaanAI: AI-Powered Multimodal UI Generator for eCommerce — From Prompt to Design in Minutes.,,,"React, Node.js, Cloudinary, Monaco Editor, Express, TailWindCSS, Vite, Groq, Sandpack, Groq API"
https://devfolio.co/projects/zkpm-d460,zkP2M,Trustless and instant INR to USD on-ramp powered by ZK,,,"Solidity, Hardhat, next, TLSnotary"
https://devfolio.co/projects/zuni-6403,ZUNI - DID on Flow,Empowering privacy-conscious identity verification. Control your data securely with decentralized identifiers and verifiable credentials. Verify with zk-SNARKs. Join the revolution now!,,,"Docker, React Native, nestjs, nextjs, zk-SNARKS, Flow blockchain, AWS Services"
https://devfolio.co/projects/webster-14,Webster,Webster is a service app that helps people to maintain a website for their business needs with just an instagram account.,,,"Django, Flutter, django-rest-framework, Django rest framework"
https://devfolio.co/projects/execute-it,Execute It,Realtime Code Collaboration Platform,,,"React, Ant Design, Node.js, Docker, WebRTC, MongoDB, Netlify, DigitalOcean, traefik, convergence"
https://devfolio.co/projects/hostel-management-web-application-0348,Hostel Management web application,"Ghar Wali Feeling : This project focuses on providing the facilities to university hostels for managing the student data with the help of Hash Table data structure, face recognition and databases",,,"NumPy, MySQL, Tkinter, Python, Pillow, Face Recognition"
https://devfolio.co/projects/quickwallet-4fb5,QuickWallet,Supercharge your Web3 development speed,,,"Solidity, ethers.js, Etherscan, reactjs, Hardhat"
https://devfolio.co/projects/flockchain-88eb,FLockChain,A Federated Learning network built on Proof of Stake and micro-rollups.,,,"Solidity, React, JavaScript, Python, TypeScript, foundry, stackr, tensorrflow"
https://devfolio.co/projects/world-ticket-803f,World Ticket,"By applying World ID, only authenticated fans can book one ticket per person, preventing overpricing and reselling of tickets. This ultimately enables the protection of artists and consumers.",,,"Solidity, IPFS, React.js, Wagmi, WorldID"
https://devfolio.co/projects/food-saviours-705e,FOOD SAVIOURS,"STOP WASTING , START DONATING",,,"PHP, HTML, Bootstrap, CSS, JavaScript, MySQL, phpMyAdmin"
https://devfolio.co/projects/kalvi-edff,Kalvi,"An EdTech dApp that Incentivizes Learning by Streaming Rewards. It connects Employer and Employee together to achieve learning goals, that can create business impact for the organization.",,,"Solidity, React, Next.js, TypeScript, Tailwind CSS, Superfluid, Truffle, Polygon, Spheron, Web3Auth"
https://devfolio.co/projects/rosaline,Rosaline,AI-powered drum machine which generates unique drum tracks for your lead melodies,,,"Flask, TensorFlow"
https://devfolio.co/projects/-6562,एक-रक्त,"A blood distribution system that not only ensures the immutability of the donor’s data but also provides transparency, effective management of surplus blood and prevents blood distribution frauds.",,,"Solidity, React, JavaScript, Matic, Ethereum, Blockchain, Matic Mumbai Test Network, Truffle Suite, Polygon, EmailUS"
https://devfolio.co/projects/elearning-app-8dd2,E-Learning App 📱,"All in one app : Flutter app which provides courses, materials, quiz and personal mentor support at no cost.",,,"Firebase, Android Studio, Flutter, Firestore, Packages and Dependencies used -"
https://devfolio.co/projects/yobyour-own-bussiness-65d4,YOB(Your Own Bussiness),#Growing and Enhancing together with freelancing,,,"JavaScript, Figma, Adobe Illustrator, CSS3​, HTML5​, Adobe Premier Pro"
https://devfolio.co/projects/stroke-rehab,Stroke Rehab,Recuperation in Your Own Hands.,,,"Node.js, Firebase, Machine Learning, Internet of Things (IoT), NodeMCU, Arduino IDE, Socket.IO, Android SDK"
https://devfolio.co/projects/disaster-management-and-climate-change-stop-d962,Disaster Management and Climate Change Stop,"""Empowering communities for a safer, sustainable future.""",,,"HTML, CSS, JavaScript, Embedded Javascript (EJS), Dart, Python, Flutter, mongoose, nodej"
https://devfolio.co/projects/remoteoffsubmit-922c,Remote-offsubmit,"Objective of the project is to create an application which will help student and teacher to solve 
internet problem issue while submitting answers in remote exam.",,,"Cloudinary, React Native, Twilio, MERN stack"
https://devfolio.co/projects/lets-deliver-9d30,Lets Deliver,"With everything so easy, start your new job today",,,"Node.js, Express.js, MongoDB Atlas, Material-UI, React.js, Sawo API"
https://devfolio.co/projects/resume-builder,Resume Builder,"Our project is an online resume making website built using the MERN tech stack where a user can come, and he will have to fill a form. After filling the form the resume will be downloaded as pdf doc.",,,"React, Node.js, CSS, JS, HTML5, JSON, Express.js, MongoDB, axios, Puppeteer"
https://devfolio.co/projects/paco-4773,PaCo,A co-pilot for Health,,,"Python, SocketIO, langchain, OpenAI GPT4, openAI whisper, Svltkit, Neural2, Elevenlabs, Google voice-to-text"
https://devfolio.co/projects/masala-wallet-c14c,Masala wallet,"""Masala Wallet: Securely Spicing Up Wallet Accessibility""",,,"Solidity, React, Node.js, ethers.js, Figma, AWS, React Native, ZoKrates, Hardhat, Scaffold ETH"
https://devfolio.co/projects/peernet-7bb7,Peernet,Decentralized VPN service,,,Solidity
https://devfolio.co/projects/zkpp-23ef,ZKP2P,A trustless P2P USD <-> USDC fiat onramp powered by ZK proofs and Venmo,,,"Solidity, AWS, React.js, Circom"
https://devfolio.co/projects/shakti-73e3,Shakti,Empower Victims of Workplace harrasment with Evidence of Experience using Blockchain and Gen AI,,,"Solidity, JavaScript, Next.js, Tailwind CSS, AI/ML"
https://devfolio.co/projects/squad-onchain-encrypted-aesrsa-file-management-74b5,Squad: On-Chain Encrypted AES-RSA File Management,"Squad is a 100% on-chain dApp that helps teams manage and share their files with a unique encryption layer between IPFS and their workflows, allowing for access control within different teams.",,,"Solidity, React, Truffle Suite, Polygon, IPFS / Filecoin"
https://devfolio.co/projects/track-my-tax-dfcf,Track My Tax,Our project aims to enhance transparency in government funds. We strive to provide clear and accessible information about how public funds are allocated and spent.,,,"Solidity, React, JavaScript, ethers.js, Blockchain, web3.js, Nodejs, CSS3​, HTML5​"
https://devfolio.co/projects/healthify-4445,Healthify,"Your all health records, on our one stop solution, when combined together makes your life better.",,,"HTML, CSS, Django, JavaScript"
https://devfolio.co/projects/smart-ordinals-8034,Smart Ordinals,"Turning stateless 1SatOrdinals into stateful smart contracts to leverage the benefits of stateful contracts, while keeping the statelessness simplicity of 1SatOrdinals tokens",,,"CSS, Docker, TypeScript, reactjs, sCrypt, BitcoinSV"
https://devfolio.co/projects/fingpt-7de0,FinGPT,One stop financial advisor,,,"Flask, Python, Figma"
https://devfolio.co/projects/helixplorer-2666,Helixplorer 🧬,A minimal gpt powered tool to visualize proteins in 3D and read about them.,,,"Next.js, Chakra UI, GPT, NGL"
https://devfolio.co/projects/kawatch-367e,KaWatch,"An intuitive,minimalistic front-end website which uses React,Three.js to showcase the product in 3D interactive manner designed using Figma and Vectary",,,"HTML, CSS, JavaScript, Figma, Three.JS, reactjs, Photoshop, Spline 3D tool, Vectary, WEB AR"
https://devfolio.co/projects/paper-house-a03b,Paper House,"An NFT Platform for Researchers & Scholars. One-stop solution to mint and publish a research paper on the blockchain, explore numerous research papers, and also fund research.",,,"React, MetaMask, Redux, Web3, The Graph, Portis, Truffle, Polygon (Matic Mumbai), NFT.Storage"
https://devfolio.co/projects/social-distancing-id-card,Social distancing ID card,It is a social distancing device helps us to maintain social distance. When someone came closer then 1meter its starts beeping.,,,"Arduino Uno, Buzzer, Ultrasonic Sensor"
https://devfolio.co/projects/pouch-wallet,Pouch Wallet,"Pouch is a peer-to-peer payments and utility dApp, with an inbuilt reward system, on top of Compound Finance.",,,"Solidity, React, Remix IDE, Web3, Ganache, Truffle Suite"
https://devfolio.co/projects/smartmatch,SmartMatch,Solving Uncertainty in Lending,,,"React, Node.js, Java"
https://devfolio.co/projects/code-de-la-route-mauritius-pdf-4676,Code de la route mauritius pdf,Code de la route mauritius pdf,,,Python
https://devfolio.co/projects/covidcare,CovidCare,"( Location Tracking | AI based Disease Detection | Android Application| Web Application )
Many problems one simple solution",,,"Django, JavaScript, TensorFlow, Android, Deep Learning, SQLite, Apache Cordova"
https://devfolio.co/projects/accilert-1488,Accilert,Alert today – Alive tomorrow,,,"OpenCV, Machine Learning, Python, JSON, Dlib, Twilio, Python - OpenCV"
https://devfolio.co/projects/securechainhr-a40c,SecureChainHR: Your Employee Management Fortified!,SecureChainHR is an employee management system built on Web3. It uses blockchain technology to store employee data securely and transparently.,,,"Solidity, Node.js, React js, Next JS, ether.js, Type Script, IPFS/Filecoin"
https://devfolio.co/projects/solvestin-0140,Solvest.in,The best streaming investments platform on Solana.,,,"React, Next.js, Python, PostgreSQL, Rust"
https://devfolio.co/projects/swirl-2913,SWIRL,Namedrop for Web3: The new way to remember someone IRL,,,"SwiftUI, Cadence, Secure Enclave, Cryptokit, FCL Swift SDK, Wi-Fi Direct / BLE, Account Linking, Nearby Interaction, Face ID, PassKey"
https://devfolio.co/projects/credchain-4c1d,CredChain,"We are a credit bureau that performs on-chain and multi-chain credit analysis, using collateralized assets to facilitate access to credit for users in credit operators.",,,"React, Ethereum, Hyperledger Besu, Lido Finance, Lachain Network"
https://devfolio.co/projects/social-distancing-and-face-mask-detector-with-alarm,Social Distancing & Face Mask Detector with Alarm,"Masks on their own will not protect you from covid'19,  practising physical distancing with mask can!
Our project ensures these 2 practises with alarm sound.",,,"OpenCV, Machine Learning, Deep Learning, Python, Computer Vision, Convolutional neural network (CNN), Tensorflow & Keras, Mobilenet"
https://devfolio.co/projects/ticketless-entry-system-ce16,Ticketless Entry System,Book Monuments Tickets hassle free.,,,"Java, Flutter (Client Side), Android Studio (Admin Side), Machine Learning using Python, Database: Firebase"
https://devfolio.co/projects/webverse-86e9,Web3Verse,"Blockchain powered open world virtual reality environment integrated with Android App and Web Dashboard. Your World, Your Way, in VR Today.",,,"Solidity, React, MetaMask, Android, Unity, Avalanche, Spheron, move, wormhole, Sui Network"
https://devfolio.co/projects/phoenix-42ea,Phoenix,Phoenix gives a solution of proper placement of EV charging infrastructures in a region. It also assist the user by locating the nearest EV charging stations.,,,"scikit-learn, NumPy, pandas, Matplotlib, Python, XGBoost, Seaborn, Folium, Plotly, Streamlit"
